case	ecli	celex
C-307/10	ECLI:EU:C:2012:361	62010CJ0307
C-322/10	ECLI:EU:C:2011:773	62010CJ0322
C-564/10	ECLI:EU:C:2012:190	62010CJ0564
C-615/10	ECLI:EU:C:2012:324	62010CJ0615
C-71/11	ECLI:EU:C:2012:518	62011CJ0071
C-180/11	ECLI:EU:C:2012:717	62011CJ0180
C-376/11	ECLI:EU:C:2012:502	62011CJ0376
C-561/11	ECLI:EU:C:2013:91	62011CJ0561
C-141/12	ECLI:EU:C:2014:2081	62012CJ0141
C-278/12	ECLI:EU:C:2012:508	62012CJ0278
C-358/12	ECLI:EU:C:2014:2063	62012CJ0358
C-400/12	ECLI:EU:C:2014:9	62012CJ0400
C-457/12	ECLI:EU:C:2014:136	62012CJ0457
C-464/12	ECLI:EU:C:2014:139	62012CJ0464
C-473/12	ECLI:EU:C:2013:715	62012CJ0473
C-573/12	ECLI:EU:C:2014:2037	62012CJ0573
C-39/13	ECLI:EU:C:2014:1758	62013CJ0039
C-165/13	ECLI:EU:C:2014:2042	62013CJ0165
C-173/13	ECLI:EU:C:2014:2090	62013CJ0173
C-183/13	ECLI:EU:C:2014:2056	62013CJ0183
C-307/13	ECLI:EU:C:2014:2058	62013CJ0307
C-338/13	ECLI:EU:C:2014:2092	62013CJ0338
C-357/13	ECLI:EU:C:2015:253	62013CJ0357
C-421/13	ECLI:EU:C:2014:2070	62013CJ0421
C-473/13	ECLI:EU:C:2014:2095	62013CJ0473
C-512/13	ECLI:EU:C:2015:108	62013CJ0512
C-524/13	ECLI:EU:C:2014:2045	62013CJ0524
C-527/13	ECLI:EU:C:2015:215	62013CJ0527
C-557/13	ECLI:EU:C:2015:227	62013CJ0557
C-559/13	ECLI:EU:C:2015:109	62013CJ0559
C-580/13	ECLI:EU:C:2015:485	62013CJ0580
C-601/13	ECLI:EU:C:2015:204	62013CJ0601
C-3/14	ECLI:EU:C:2015:232	62014CJ0003
C-4/14	ECLI:EU:C:2015:563	62014CJ0004
C-20/14	ECLI:EU:C:2015:714	62014CJ0020
C-39/14	ECLI:EU:C:2015:470	62014CJ0039
C-61/14	ECLI:EU:C:2015:655	62014CJ0061
C-169/14	ECLI:EU:C:2014:2099	62014CJ0169
C-203/14	ECLI:EU:C:2015:664	62014CJ0203
C-234/14	ECLI:EU:C:2016:6	62014CJ0234
C-240/14	ECLI:EU:C:2015:567	62014CJ0240
C-297/14	ECLI:EU:C:2015:844	62014CJ0297
C-306/14	ECLI:EU:C:2015:689	62014CJ0306
C-310/14	ECLI:EU:C:2015:690	62014CJ0310
C-335/14	ECLI:EU:C:2016:36	62014CJ0335
C-376/14	ECLI:EU:C:2014:2268	62014CJ0376
C-404/14	ECLI:EU:C:2015:653	62014CJ0404
C-422/14	ECLI:EU:C:2015:743	62014CJ0422
C-441/14	ECLI:EU:C:2016:278	62014CJ0441
C-443/14	ECLI:EU:C:2016:127	62014CJ0443
C-5/15	ECLI:EU:C:2016:218	62015CJ0005
C-15/15	ECLI:EU:C:2016:464	62015CJ0015
C-40/15	ECLI:EU:C:2016:172	62015CJ0040
C-96/15	ECLI:EU:C:2016:450	62015CJ0096
C-159/15	ECLI:EU:C:2016:451	62015CJ0159
C-174/15	ECLI:EU:C:2016:856	62015CJ0174
C-216/15	ECLI:EU:C:2016:883	62015CJ0216
C-256/15	ECLI:EU:C:2016:954	62015CJ0256
C-333/15	ECLI:EU:C:2016:426	62015CJ0333
C-336/15	ECLI:EU:C:2017:276	62015CJ0336
C-436/15	ECLI:EU:C:2017:468	62015CJ0436
C-458/15	ECLI:EU:C:2019:522	62015CJ0458
C-465/15	ECLI:EU:C:2017:640	62015CJ0465
C-529/15	ECLI:EU:C:2017:419	62015CJ0529
C-531/15	ECLI:EU:C:2017:789	62015CJ0531
C-535/15	ECLI:EU:C:2017:315	62015CJ0535
C-617/15	ECLI:EU:C:2017:390	62015CJ0617
C-638/15	ECLI:EU:C:2017:277	62015CJ0638
C-670/15	ECLI:EU:C:2017:594	62015CJ0670
C-672/15	ECLI:EU:C:2017:310	62015CJ0672
C-701/15	ECLI:EU:C:2017:545	62015CJ0701
C-13/16	ECLI:EU:C:2017:336	62016CJ0013
C-48/16	ECLI:EU:C:2017:377	62016CJ0048
C-102/16	ECLI:EU:C:2017:1012	62016CJ0102
C-147/16	ECLI:EU:C:2018:320	62016CJ0147
C-158/16	ECLI:EU:C:2017:1014	62016CJ0158
C-177/16	ECLI:EU:C:2017:689	62016CJ0177
C-206/16	ECLI:EU:C:2017:572	62016CJ0206
C-217/16	ECLI:EU:C:2017:841	62016CJ0217
C-224/16	ECLI:EU:C:2017:880	62016CJ0224
C-270/16	ECLI:EU:C:2018:17	62016CJ0270
C-274/16	ECLI:EU:C:2018:160	62016CJ0274
C-298/16	ECLI:EU:C:2017:843	62016CJ0298
C-325/16	ECLI:EU:C:2018:326	62016CJ0325
C-370/16	ECLI:EU:C:2018:344	62016CJ0370
C-374/16	ECLI:EU:C:2017:867	62016CJ0374
C-382/16	ECLI:EU:C:2018:366	62016CJ0382
C-383/16	ECLI:EU:C:2017:783	62016CJ0383
C-391/16	ECLI:EU:C:2019:403	62016CJ0391
C-403/16	ECLI:EU:C:2017:960	62016CJ0403
C-470/16	ECLI:EU:C:2018:185	62016CJ0470
C-473/16	ECLI:EU:C:2018:36	62016CJ0473
C-498/16	ECLI:EU:C:2018:37	62016CJ0498
C-510/16	ECLI:EU:C:2018:751	62016CJ0510
C-528/16	ECLI:EU:C:2018:583	62016CJ0528
C-554/16	ECLI:EU:C:2018:406	62016CJ0554
C-565/16	ECLI:EU:C:2018:265	62016CJ0565
C-566/16	ECLI:EU:C:2018:321	62016CJ0566
C-580/16	ECLI:EU:C:2018:261	62016CJ0580
C-594/16	ECLI:EU:C:2018:717	62016CJ0594
C-612/16	ECLI:EU:C:2019:508	62016CJ0612
C-633/16	ECLI:EU:C:2018:371	62016CJ0633
C-638/16	ECLI:EU:C:2017:173	62016CJ0638
C-648/16	ECLI:EU:C:2018:932	62016CJ0648
C-660/16	ECLI:EU:C:2018:372	62016CJ0660
C-665/16	ECLI:EU:C:2018:431	62016CJ0665
C-685/16	ECLI:EU:C:2018:743	62016CJ0685
C-9/17	ECLI:EU:C:2018:142	62017CJ0009
C-28/17	ECLI:EU:C:2018:526	62017CJ0028
C-30/17	ECLI:EU:C:2018:325	62017CJ0030
C-39/17	ECLI:EU:C:2018:438	62017CJ0039
C-40/17	ECLI:EU:C:2019:629	62017CJ0040
C-46/17	ECLI:EU:C:2018:131	62017CJ0046
C-47/17	ECLI:EU:C:2018:900	62017CJ0047
C-61/17	ECLI:EU:C:2018:653	62017CJ0061
C-70/17	ECLI:EU:C:2019:250	62017CJ0070
C-123/17	ECLI:EU:C:2018:632	62017CJ0123
C-147/17	ECLI:EU:C:2018:926	62017CJ0147
C-164/17	ECLI:EU:C:2018:593	62017CJ0164
C-191/17	ECLI:EU:C:2018:809	62017CJ0191
C-216/17	ECLI:EU:C:2018:1034	62017CJ0216
C-219/17	ECLI:EU:C:2018:1023	62017CJ0219
C-239/17	ECLI:EU:C:2018:597	62017CJ0239
C-257/17	ECLI:EU:C:2018:876	62017CJ0257
C-268/17	ECLI:EU:C:2018:602	62017CJ0268
C-312/17	ECLI:EU:C:2018:734	62017CJ0312
C-326/17	ECLI:EU:C:2019:59	62017CJ0326
C-328/17	ECLI:EU:C:2018:958	62017CJ0328
C-337/17	ECLI:EU:C:2018:805	62017CJ0337
C-349/17	ECLI:EU:C:2019:172	62017CJ0349
C-386/17	ECLI:EU:C:2019:24	62017CJ0386
C-388/17	ECLI:EU:C:2019:161	62017CJ0388
C-449/17	ECLI:EU:C:2019:202	62017CJ0449
C-478/17	ECLI:EU:C:2018:812	62017CJ0478
C-484/17	ECLI:EU:C:2018:878	62017CJ0484
C-497/17	ECLI:EU:C:2019:137	62017CJ0497
C-501/17	ECLI:EU:C:2019:288	62017CJ0501
C-518/17	ECLI:EU:C:2018:757	62017CJ0518
C-556/17	ECLI:EU:C:2019:626	62017CJ0556
C-579/17	ECLI:EU:C:2019:162	62017CJ0579
C-581/17	ECLI:EU:C:2019:138	62017CJ0581
C-616/17	ECLI:EU:C:2019:800	62017CJ0616
C-622/17	ECLI:EU:C:2019:566	62017CJ0622
C-635/17	ECLI:EU:C:2019:192	62017CJ0635
C-647/17	ECLI:EU:C:2019:195	62017CJ0647
C-664/17	ECLI:EU:C:2019:496	62017CJ0664
C-673/17	ECLI:EU:C:2019:801	62017CJ0673
C-676/17	ECLI:EU:C:2019:700	62017CJ0676
C-680/17	ECLI:EU:C:2019:627	62017CJ0680
C-692/17	ECLI:EU:C:2019:867	62017CJ0692
C-703/17	ECLI:EU:C:2019:850	62017CJ0703
C-708/17	ECLI:EU:C:2019:1049	62017CJ0708
C-2/18	ECLI:EU:C:2019:962	62018CJ0002
C-22/18	ECLI:EU:C:2019:497	62018CJ0022
C-32/18	ECLI:EU:C:2019:752	62018CJ0032
C-58/18	ECLI:EU:C:2019:467	62018CJ0058
C-94/18	ECLI:EU:C:2019:693	62018CJ0094
C-100/18	ECLI:EU:C:2019:517	62018CJ0100
C-168/18	ECLI:EU:C:2019:1128	62018CJ0168
C-171/18	ECLI:EU:C:2019:839	62018CJ0171
C-198/18	ECLI:EU:C:2019:1001	62018CJ0198
C-220/18	ECLI:EU:C:2018:589	62018CJ0220
C-236/18	ECLI:EU:C:2019:1120	62018CJ0236
C-263/18	ECLI:EU:C:2019:1111	62018CJ0263
C-344/18	ECLI:EU:C:2020:239	62018CJ0344
C-371/18	ECLI:EU:C:2020:45	62018CJ0371
C-394/18	ECLI:EU:C:2020:56	62018CJ0394
C-398/18	ECLI:EU:C:2019:1050	62018CJ0398
C-452/18	ECLI:EU:C:2020:536	62018CJ0452
C-484/18	ECLI:EU:C:2019:970	62018CJ0484
C-555/18	ECLI:EU:C:2019:937	62018CJ0555
C-565/18	ECLI:EU:C:2020:318	62018CJ0565
C-578/18	ECLI:EU:C:2020:35	62018CJ0578
C-581/18	ECLI:EU:C:2020:453	62018CJ0581
C-584/18	ECLI:EU:C:2020:324	62018CJ0584
C-648/18	ECLI:EU:C:2020:723	62018CJ0648
C-649/18	ECLI:EU:C:2020:764	62018CJ0649
C-654/18	ECLI:EU:C:2020:398	62018CJ0654
C-673/18	ECLI:EU:C:2020:531	62018CJ0673
C-693/18	ECLI:EU:C:2020:1040	62018CJ0693
C-706/18	ECLI:EU:C:2019:993	62018CJ0706
C-717/18	ECLI:EU:C:2020:142	62018CJ0717
C-762/18	ECLI:EU:C:2020:504	62018CJ0762
C-778/18	ECLI:EU:C:2020:831	62018CJ0778
C-807/18	ECLI:EU:C:2020:708	62018CJ0807
C-824/18	ECLI:EU:C:2021:153	62018CJ0824
C-2/19	ECLI:EU:C:2020:237	62019CJ0002
C-21/19	ECLI:EU:C:2020:636	62019CJ0021
C-24/19	ECLI:EU:C:2020:503	62019CJ0024
C-59/19	ECLI:EU:C:2020:950	62019CJ0059
C-74/19	ECLI:EU:C:2020:460	62019CJ0074
C-80/19	ECLI:EU:C:2020:569	62019CJ0080
C-86/19	ECLI:EU:C:2020:538	62019CJ0086
C-95/19	ECLI:EU:C:2021:128	62019CJ0095
C-107/19	ECLI:EU:C:2021:722	62019CJ0107
C-112/19	ECLI:EU:C:2020:864	62019CJ0112
C-128/19	ECLI:EU:C:2021:401	62019CJ0128
C-129/19	ECLI:EU:C:2020:566	62019CJ0129
C-186/19	ECLI:EU:C:2020:638	62019CJ0186
